name(All At Once!)
snap(-65,-53,-36)
sky(255,255,255)
fog(255,255,255)
ground(192,188,212)
polys(192,188,212)
fadefrom(9000)
nlaps(1)

.set(61,-1200000000,-1200000000,-400000000,-45)
.set(66,6577,8697,250,0)
.set(66,-3798,16290,250,90)
.set(66,5616,18837,250,180)
.set(66,-1775,23441,250,-90)
.set(66,17906,22561,250,0)
.set(66,12977,23584,250,90)
.set(66,13470,9306,250,180)
.set(66,10486,2500,250,-90)
.set(66,-2553,-18702,250,0)
.set(66,2190,-15974,250,90)
.set(67,-2740,-18335,250,-90)
.set(67,-2275,-11720,250,0)
.set(67,3725,-6100,250,90)
.set(67,-2885,-1595,250,-90)
.set(67,-2015,11115,250,0)
.set(67,3230,17455,250,90)
.set(67,11670,19260,250,180)
.set(67,6930,4570,250,-90)
.set(68,3240,3940,250,90)
.set(68,-1820,20710,250,180)
.set(68,10390,12210,250,-90)
.set(68,-3750,-15530,250,0)
.set(68,3240,-7650,250,90)
.set(69,-3810,-11380,250,180)
.set(69,3800,-1390,250,-90)
.set(69,9690,-7400,250,0)
.set(69,-4520,8500,250,90)
.set(69,15330,23630,250,180)
.set(69,8910,16790,250,-90)
.set(69,17580,10030,250,0)
.set(73,13300,-8776,250,90)
.set(73,18983,-15330,250,180)
.set(73,12864,-19388,250,-90)
.set(73,17636,-27415,250,0)
.set(73,13952,-32180,250,90)
.set(73,18282,-30184,250,180)
.set(73,13471,-28909,250,-90)
.set(73,13086,-12143,250,0)
.set(73,18628,-12177,250,90)
.set(73,12758,-857,250,180)
.set(73,18306,-1810,250,-90)
.set(74,18476,-2813,250,0)
.set(74,17609,-552,250,90)
.set(74,13089,-5123,250,180)
.set(74,17917,-7469,250,-90)
.set(74,11493,-11371,250,0)
.set(74,12972,-14822,250,90)
.set(74,18798,-18237,250,180)
.set(74,13341,-18118,250,-90)
.set(74,12263,-17564,250,0)
.set(74,17592,-22235,250,90)
.set(74,18493,-21810,250,180)
.set(74,18060,-25470,250,-90)
.set(74,13283,-27170,250,0)
.set(74,13572,-30315,250,90)
.set(74,18242,-33428,250,180)
.set(75,13038,364,250,-90)
.set(75,12613,-2203,250,0)
.set(75,18427,1503,250,90)
.set(75,13140,4075,250,180)
.set(75,18183,-9282,250,-90)
.set(75,18149,-11135,250,0)
.set(75,12947,-7225,250,90)
.set(75,18633,-19843,250,180)
.set(75,19313,-26992,250,-90)
.set(75,13347,-23531,250,0)
.set(75,17612,-31823,250,90)
.set(75,18326,-28814,250,180)
.set(75,11568,-29925,250,-90)
.set(75,11126,-31795,250,0)
.set(74,10599,-29058,250,90)
.set(74,9681,-27341,250,180)
.set(74,10599,-27120,250,-90)
.set(70,13308,-38004,250,0)
.set(70,17620,-35960,250,90)
.set(70,17064,-44088,250,180)
.set(70,8328,-42156,250,-90)
.set(70,6620,-45852,250,0)
.set(70,-5628,-41464,250,90)
.set(70,1232,-47024,250,180)
.set(70,-10100,-41656,250,-90)
.set(70,-17768,-40884,250,0)
.set(70,-24656,-46412,250,90)
.set(70,-32952,-40660,250,180)
.set(70,-38448,-39356,250,-90)
.set(70,-35480,-30844,250,0)
.set(70,-39868,-25444,250,90)
.set(70,-31724,-17364,250,180)
.set(70,-38932,-11500,250,-90)
.set(70,-33236,-6060,250,0)
.set(70,-38708,-476,250,90)
.set(70,-33164,5004,250,180)
.set(70,-39324,9848,250,-90)
.set(70,-34080,16416,250,0)
.set(70,-34196,20532,250,90)
.set(70,-39460,26896,250,180)
.set(70,-32520,34292,250,-90)
.set(70,-39184,35636,250,0)
.set(70,-39460,45104,250,90)
.set(70,-32012,44516,250,180)
.set(70,-31732,49480,250,-90)
.set(70,-23888,41944,250,0)
.set(70,-30216,37408,250,90)
.set(70,-24868,38248,250,180)
.set(70,-24372,-528,250,0)
.set(70,-29892,-9840,250,90)
.set(70,-24060,-13596,250,180)
.set(70,-30104,-21660,250,-90)
.set(70,-22424,-25096,250,0)
.set(71,13368,-40720,250,90)
.set(71,18380,-40832,250,180)
.set(71,11324,-46452,250,-90)
.set(71,4632,-41524,250,0)
.set(71,1776,-45808,250,90)
.set(71,-7696,-40780,250,180)
.set(71,-1300,-46540,250,-90)
.set(71,-8860,-45868,250,0)
.set(71,-18352,-46280,250,90)
.set(71,-25968,-41204,250,180)
.set(71,-31548,-46948,250,-90)
.set(71,-34460,-46192,250,0)
.set(71,-39100,-41024,250,90)
.set(71,-34396,-32988,250,180)
.set(71,-40844,-32636,250,-90)
.set(71,-40648,-27932,250,0)
.set(71,-31980,-24604,250,90)
.set(71,-39284,-17356,250,180)
.set(71,-38724,-21288,250,-90)
.set(71,-33472,-12440,250,0)
.set(71,-38168,-5996,250,90)
.set(71,-40668,-468,250,180)
.set(71,-38556,5340,250,-90)
.set(71,-33500,8952,250,0)
.set(71,-38332,14676,250,90)
.set(71,-38456,20376,250,180)
.set(71,-33456,27348,250,-90)
.set(71,-38844,32932,250,0)
.set(71,-34204,38712,250,90)
.set(71,-38652,40940,250,180)
.set(71,-34992,49576,250,-90)
.set(71,-25240,49600,250,0)
.set(71,-25072,44224,250,90)
.set(71,-31036,42376,250,180)
.set(71,-23432,33824,250,-90)
.set(71,-30048,32904,250,0)
.set(71,-30264,-944,250,90)
.set(71,-23728,-8808,250,180)
.set(71,-29784,-14948,250,-90)
.set(71,-22508,-20348,250,0)
.set(72,10028,-39392,250,90)
.set(72,-556,-41824,250,180)
.set(72,-4208,-45012,250,-90)
.set(72,-14748,-43635,250,0)
.set(72,-21118,-41723,250,90)
.set(72,-30076,-45517,250,180)
.set(72,-37954,-43966,250,-90)
.set(72,-33807,-36319,250,0)
.set(72,-39559,-34058,250,90)
.set(72,-33648,-27205,250,180)
.set(72,-33270,-21913,250,-90)
.set(72,-38148,-16573,250,0)
.set(72,-33190,-14031,250,90)
.set(72,-39572,-8800,250,180)
.set(72,-33879,-3022,250,-90)
.set(72,-33432,4062,250,0)
.set(72,-34197,14533,250,90)
.set(72,-38046,18588,250,180)
.set(72,-33151,25415,250,-90)
.set(72,-39113,30260,250,0)
.set(72,-37260,48365,250,90)
.set(72,-25252,47726,250,180)
.set(72,-30361,39151,250,-90)
.set(72,-25164,29975,250,0)
.set(72,-30059,-4836,250,90)
.set(72,-24349,-3920,250,180)
.set(72,-25370,-18585,250,-90)
